rescore	organization	title	url	evidence
65	川南町	令和8年度川南町育英会奨学金事業について	https://www.town.kawaminami.miyazaki.jp/soshiki/12/1462.html	令和8年度川南町育英会奨学金事業について - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 学校 > 高校・大学・専門学校 > 令和8年度川南町育英会奨学金事業について 本文 令和8年度川南町育英会奨学金事業について 記事ID：0001462 更新日：2026年2月20日更新 印刷ページ表示 川南町育英会では、経済的な理由により修学が困難な大学生等を対象に、奨学金事業を行っています。
65	川南町	川南町骨髄移植ドナー支援事業	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1300.html	川南町骨髄移植ドナー支援事業 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 医療・健康・福祉 > 医療・福祉 > 川南町骨髄移植ドナー支援事業 本文 川南町骨髄移植ドナー支援事業 記事ID：0001300 更新日：2020年12月22日更新 印刷ページ表示 川南町骨髄移植ドナー支援事業 川南町では、多くの骨髄または末梢血幹細胞移植の実現およびドナー登録者の増加を図るために、町内に住
65	川南町	対象者の方へ介護用品を給付します	https://www.town.kawaminami.miyazaki.jp/soshiki/4/5545.html	対象者の方へ介護用品を給付します - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 保険・年金 > 介護保険 > 対象者の方へ介護用品を給付します 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 介護 > 対象者の方へ介護用品を給付します 本文 対象者の方へ介護用品を給付します 記事ID：0005545 更新日：2024年10月1日更新 印刷ページ表示 川南
65	川南町	補装具の給付・修理	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1356.html	補装具の給付・修理 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 医療・健康・福祉 > 医療・福祉 > 補装具の給付・修理 現在地 トップページ > 分類でさがす > くらし > 医療・健康・福祉 > 障がい者福祉 > 補装具の給付・修理 本文 補装具の給付・修理 記事ID：0001356 更新日：2020年12月22日更新 印刷ページ表示 補装具とは 身体障がい者（児）が失われた
65	川南町	川南町の移住・定住支援制度を紹介します	https://www.town.kawaminami.miyazaki.jp/soshiki/2/1191.html	川南町の移住・定住支援制度を紹介します - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > 町政 > 町の取り組み > 移住・定住 > 川南町の移住・定住支援制度を紹介します 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 住まい > 川南町の移住・定住支援制度を紹介します 本文 川南町の移住・定住支援制度を紹介します 記事ID：0001191 更新日：2026年4月1日
65	川南町	結婚相談所への入会登録料を助成します！	https://www.town.kawaminami.miyazaki.jp/soshiki/2/15688.html	結婚相談所への入会登録料を助成します！ - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 組織でさがす > 町長部局 > まちづくり課 > 結婚相談所への入会登録料を助成します！ 本文 結婚相談所への入会登録料を助成します！ 記事ID：0015688 更新日：2026年4月1日更新 印刷ページ表示 結婚相談所への入会登録料を助成します！ ​ 結婚を希望する独身者同士の出会いをサポートするため、結婚相談所の入会登録料
64	新富町	保険者機能強化推進交付金・介護保険保険者努力支援交付金	https://www.town.shintomi.lg.jp/iryo_kenko_fukushi/kaigohoken/2793.html	保険者機能強化推進交付金・介護保険保険者努力支援交付金／新富町 スマートフォン版を表示 本文へ 閲覧支援 Languages メニュー 文字拡大 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） GO Select your language 閉じる キーワードから探す ファイル種別 すべて HTML PDF ページIDから探す 検索 くらし くらしを開く 医療・健康・福祉 医療・健康・福祉を開く 子育て・教育 子育て・教育を開く 観光・文化・スポーツ 観光・文化・スポーツを開く 産業・ビジネス 産業・ビジネスを開く 町政 町
64	新富町	新型コロナウイルス感染症対応地方創生臨時交付金及び物価高騰対策重点支援地方創生臨時交付金	https://www.town.shintomi.lg.jp/chosei/gyoseiunei/2/1/2160.html	新型コロナウイルス感染症対応地方創生臨時交付金及び物価高騰対策重点支援地方創生臨時交付金／新富町 スマートフォン版を表示 本文へ 閲覧支援 Languages メニュー 文字拡大 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） GO Select your language 閉じる キーワードから探す ファイル種別 すべて HTML PDF ページIDから探す 検索 くらし くらしを開く 医療・健康・福祉 医療・健康・福祉を開く 子育て・教育 子育て・教育を開く 観光・文化・スポーツ 観光・文化・スポーツを開く 産業・ビジネ
64	都農町	都農町妊婦のための支援給付・入学応援金事業についてのお知らせ	https://www.town.tsuno.lg.jp/article?articleId=64211d0d8127bd2643a51f18	都農町妊婦のための支援給付・入学応援金事業についてのお知らせ 町では、すべての妊婦や子育て家庭が安心して出産・子育てできるよう、妊娠期から出産・子育てまで一貫して相談に応じ、必要な支援につなぐ「妊婦等包括支援」と併せて、経済的な支援を一体的に行うため、「妊婦のための支援給付金」を支給します。また、町独自事業として、小学校に入学する児童を養育する世帯に対して「すこやか入学応援金」を給付します。 都農町妊婦のための支援給付・入学応援事業について 事業内容については、チラシでもご確認いただけます。 「都農町妊婦のための支援給付金・入学応援金」チラシ https://prdurbanostnoapp1.blob.core.windows.net/common-article/64211d0d8127bd2643a51f
63	川南町	川南町不妊検査費及び不妊治療費助成制度について	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1307.html	川南町不妊検査費及び不妊治療費助成制度について - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 妊娠・出産 > 川南町不妊検査費及び不妊治療費助成制度について 本文 川南町不妊検査費及び不妊治療費助成制度について 記事ID：0001307 更新日：2026年3月18日更新 印刷ページ表示 ​ 川南町では、当町での出産・子育てを希望しているご夫婦を応援するために、不
