score	org	title	url	snippet
26	唐津市	「児童手当」はいつ振り込まれますか	https://www.city.karatsu.lg.jp/page/2643.html	「児童手当」はいつ振り込まれますか - 唐津市ホームページ（こども家庭課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ページI
26	唐津市	【市民向け】唐津市民応援商品券からふる券【物価高対応】	https://www.city.karatsu.lg.jp/page/43194.html	【市民向け】唐津市民応援商品券からふる券【物価高対応】 - 唐津市ホームページ（商工振興課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべて ページ
26	唐津市	【事業者向け】からふる券取扱店舗の登録者を募集します	https://www.city.karatsu.lg.jp/page/45649.html	【事業者向け】からふる券取扱店舗の登録者を募集します - 唐津市ホームページ（商工振興課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべて ページ
26	唐津市	【申込期限延長】老朽化して危険な空き家などを除去する費用を補助します	https://www.city.karatsu.lg.jp/page/1165.html	【申込期限延長】老朽化して危険な空き家などを除去する費用を補助します - 唐津市ホームページ（空き家対策室） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象
26	唐津市	【物価高対応】子育て応援手当を支給します	https://www.city.karatsu.lg.jp/page/42252.html	【物価高対応】子育て応援手当を支給します - 唐津市ホームページ（こども家庭課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ペ
26	唐津市	ひとり親家庭等医療費助成制度	https://www.city.karatsu.lg.jp/site/kosodate/4234.html	ひとり親家庭等医療費助成制度 - 子育て支援情報サイト - 唐津市ホームページ（こども家庭課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす キ
26	唐津市	ロタウイルスワクチン	https://www.city.karatsu.lg.jp/site/kosodate/4445.html	ロタウイルスワクチン - 子育て支援情報サイト - 唐津市ホームページ（健康増進課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす キーワード検
26	唐津市	産婦健康診査を受診しましょう	https://www.city.karatsu.lg.jp/site/kosodate/30214.html	産婦健康診査を受診しましょう - 子育て支援情報サイト - 唐津市ホームページ（こども健康課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす キ
26	唐津市	子どもの医療費を助成しています	https://www.city.karatsu.lg.jp/site/kosodate/1643.html	子どもの医療費を助成しています - 子育て支援情報サイト - 唐津市ホームページ（こども家庭課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす
26	唐津市	子どもの予防接種に関すること	https://www.city.karatsu.lg.jp/site/kosodate/2283.html	子どもの予防接種に関すること - 子育て支援情報サイト - 唐津市ホームページ（健康増進課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす キー
26	唐津市	子育て支援ひろば（令和8年7月・令和8年8月分）	https://www.city.karatsu.lg.jp/site/kosodate/1030.html	子育て支援ひろば（令和8年7月・令和8年8月分） - 子育て支援情報サイト - 唐津市ホームページ（児童保育課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談
26	唐津市	子育て支援情報センター	https://www.city.karatsu.lg.jp/site/kosodate/2854.html	子育て支援情報センター - 子育て支援情報サイト - 唐津市ホームページ（こども家庭センター） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす キ
26	唐津市	事業者の方を対象とした脱炭素経営ワークショップが開催されます！	https://www.city.karatsu.lg.jp/page/49800.html	事業者の方を対象とした脱炭素経営ワークショップが開催されます！ - 唐津市ホームページ（新エネルギー産業課） ページの先頭です。 メニューを飛ばして本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 本文へ Googleカスタム検索 検索対象 すべて ページ PDF 何をお探しでしょうか？ 知りたい情報にたどり着けます キーワード検索 Googleカスタム検索 検索対象
26	唐津市	児童の心臓病医療費助成	https://www.city.karatsu.lg.jp/site/kosodate/2635.html	児童の心臓病医療費助成 - 子育て支援情報サイト - 唐津市ホームページ（こども家庭課） ページの先頭です。 このページの本文へ 情報をさがす メニュ－ JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 唐津市公式ホームページ Foreign language 検索対象 すべて ページ PDF こどもを緊急で 預けたいとき こどもが急病や ケガ等のとき 休日当番医 子育て相談 情報をさがす キーワー
