code,name,score,status,title,keywords,url
"01397","留寿都村","","200","水田フル活用ビジョンの公表について","移住|農業|林業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001292.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2010（コーポ高澤））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001430.html"
"01397","留寿都村","","200","国土利用計画法の届出","住宅|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001641.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2011（コーポ高澤II））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001716.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2012（ハイツ辻））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001718.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2013（ドリームライフ ミウラ））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001719.html"
"01397","留寿都村","","200","特定個人情報保護評価書の公表について","事業者|予防接種","https://www.vill.rusutsu.lg.jp/hotnews/detail/00001877.html"
"01397","留寿都村","","200","出産について","一時金|医療費助成|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002015.html"
"01397","留寿都村","","200","年表（平成史）","移住|住宅|農業|水産|福祉|耐震","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002416.html"
"01397","留寿都村","","200","年表（令和史）","移住|住宅|子育て","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002417.html"
"01397","留寿都村","","200","空き家バンク情報（物件番号2014（松井アパート1階））","移住|空き家","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002455.html"
"01397","留寿都村","","200","留寿都村内の求人情報","移住|空き家|事業者","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002582.html"
"01397","留寿都村","","200","水資源保全地域について","住宅|事業者|農業","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002595.html"
"01397","留寿都村","","200","小型家電リサイクルにご協力ください","事業者|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002632.html"
"01397","留寿都村","","200","し尿等処理（汲み取り）の申込みや支払い方法について（令和6年10月1日改定）","事業者|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002647.html"
"01397","留寿都村","","200","家庭用パソコンの廃棄方法","事業者|福祉","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002751.html"
"01397","留寿都村","","200","オープンデータの公開について","事業者|子育て","https://www.vill.rusutsu.lg.jp/hotnews/detail/00002924.html"
