municipalityCode,municipalityName,score,status,title,keywordHits,sourceUrl
"01346","八雲町","2","200","健康・福祉","福祉|予防接種","https://www.town.yakumo.lg.jp/life/1/31/163/"
"01346","八雲町","2","200","危機対策課","補助金|事業者","https://www.town.yakumo.lg.jp/soshiki/kikitaisaku/"
"01346","八雲町","2","200","環境水道課","助成金|事業者","https://www.town.yakumo.lg.jp/soshiki/suidou/"
"01347","長万部町","10","200","移住・定住","移住|農業|子育て","https://www.town.oshamambe.lg.jp/life/1/7/28/"
"01347","長万部町","3","200","くらし・手続き","移住|住宅|空家|福祉|子育て","https://www.town.oshamambe.lg.jp/life/1/"
"01347","長万部町","3","200","長万部町地域おこし協力隊","移住|空き家|農業|水産|福祉|子育て","https://www.town.oshamambe.lg.jp/soshiki/4/5702.html"
"01347","長万部町","3","200","妊娠・出産","福祉|子育て|不妊|妊婦","https://www.town.oshamambe.lg.jp/life/2/11/45/"
"01347","長万部町","3","200","子育て支援","補助金|福祉|子育て|予防接種","https://www.town.oshamambe.lg.jp/life/2/10/"
"01347","長万部町","2","200","子育て・健康・福祉","福祉|子育て|予防接種","https://www.town.oshamambe.lg.jp/life/2/"
"01347","長万部町","2","200","教育・文化・スポーツ","福祉|子育て|通学","https://www.town.oshamambe.lg.jp/life/3/"
"01347","長万部町","2","200","重要なお知らせ","減免|農業|子育て","https://www.town.oshamambe.lg.jp/soshiki/list3-1.html"
"01347","長万部町","2","200","総務課","補助金|水産|子育て","https://www.town.oshamambe.lg.jp/soshiki/2/"
"01347","長万部町","2","200","お知らせ","子育て|通学","https://www.town.oshamambe.lg.jp/soshiki/list5-1.html"
"01347","長万部町","2","200","学校・教育","子育て|通学","https://www.town.oshamambe.lg.jp/life/3/14/"
"01361","江差町","3","200","妊娠・出産","一時金|福祉|子育て|妊婦","https://www.hokkaido-esashi.jp/modules/lifeevent/content0001.html"
"01361","江差町","3","200","子育て","子育て|予防接種|妊婦","https://www.hokkaido-esashi.jp/modules/lifeevent/content0002.html"
"01361","江差町","3","200","入園・入学","貸付|子育て|就学","https://www.hokkaido-esashi.jp/modules/lifeevent/content0003.html"
"01361","江差町","3","200","就職・退職","一時金|貸付|子育て","https://www.hokkaido-esashi.jp/modules/lifeevent/content0004.html"
"01361","江差町","3","200","国民健康保険税について","支援金|免除|福祉|子育て|就学","https://www.hokkaido-esashi.jp/modules/lifeinfo/content1445.html"
