municipalityCode,municipalityName,score,priority,label,url,snippet
"22102","浜松市","40","low","第1次試験個別面接対象者［第1類消防職員］","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/1ruisyoubou-mentai.html",""
"22102","浜松市","40","low","第1次試験個別面接対象者［第1類行政職員（技術）］＜2026年10月1日採用＞","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/1rui10gatu-kobetu.html",""
"22102","浜松市","40","low","浜松市会計年度任用職員（消防局）の募集","https://www.city.hamamatsu.shizuoka.jp/hfdsoum/31.html",""
"22102","浜松市","40","low","緑の募金交付金事業","https://www.city.hamamatsu.shizuoka.jp/ryokuka/ryokukasuisinhonbu/kouhukinjigyou/kouhukinjigyou.html",""
"22102","浜松市","40","low","最終試験合格者［第1類行政職員（技術）］＜令和8年度早期試験＞","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/1ruisouki-saisyuu-gijutu.html",""
"22102","浜松市","40","low","最終試験合格者［第1類行政職員（事務）（テストセンター方式）］＜令和8年度早期試験＞","https://www.city.hamamatsu.shizuoka.jp/jinji-iinkai/officer/r08/1rui-jimuic-saisyuu.html",""
"22102","浜松市","40","low","浜松市災害支援ナース事前登録募集","https://www.city.hamamatsu.shizuoka.jp/iryou/bousai/bosyu.html",""
"22102","浜松市","40","low","可美市民サービスセンター仮事務所設置のお知らせ","https://www.city.hamamatsu.shizuoka.jp/s-kumin/kyukan.html",""
"22203","沼津市","40","low","市民のみなさんへ","https://www.city.numazu.shizuoka.jp/kurashi/index.htm",""
"22203","沼津市","40","low","事業者のみなさんへ","https://www.city.numazu.shizuoka.jp/business/index.htm",""
"22203","沼津市","40","low","「沼津あじフライたるたるサンド」を販売していただける店舗（認定店）を募集します","https://www.city.numazu.shizuoka.jp/business/topics/2025/ajitarusand/index.htm",""
"22203","沼津市","40","low","企業版ふるさと納税の募集について","https://www.city.numazu.shizuoka.jp/shisei/keikaku/machi/kifuboshu.htm",""
"22203","沼津市","40","low","現在受付中の義援金・救援金","https://www.city.numazu.shizuoka.jp/shisei/office/ichiran/shiminfuku/fukushikikaku/gienkin.htm",""
"22203","沼津市","40","low","公立保育所等の臨時保育士を募集しています","https://www.city.numazu.shizuoka.jp/kurashi/kyoiku/kosodate/tetsuzuki/rinjihoikushi.htm",""
"22203","沼津市","40","low","高齢者運転免許証自主返納支援事業","https://www.city.numazu.shizuoka.jp/kurashi/anshin/safety/sonota/jisyuhennou.htm",""
"22203","沼津市","40","low","事業者のみなさんへ","https://www.city.numazu.shizuoka.jp/business/",""
"22203","沼津市","40","low","令和8年度入札参加資格申請（追加受付）","https://www.city.numazu.shizuoka.jp/business/nyusatsu_keiyaku/nyusatsu/gyoshatoroku/",""
"22203","沼津市","40","low","入札参加資格審査申請書の変更届について","https://www.city.numazu.shizuoka.jp/business/nyusatsu_keiyaku/nyusatsu/gyoshatoroku/henkou.htm",""
"22203","沼津市","40","low","沼津市競争入札参加資格審査申請等提出書類 ダウンロード","https://www.city.numazu.shizuoka.jp/business/nyusatsu_keiyaku/nyusatsu/gyoshatoroku/toroku_buppin.htm",""
"22203","沼津市","40","low","建設工事業者の皆様へ（施工パッケージ型積算方式の導入について）","https://www.city.numazu.shizuoka.jp/business/nyusatsu_keiyaku/nyusatsu/topics/kensetsukouji.htm",""
"22203","沼津市","40","low","ポリ塩化ビフェニル（PCB）廃棄物の処理期限が迫っています","https://www.city.numazu.shizuoka.jp/business/oyakudachi/gomi/haikibutu/pcb.htm",""
"22203","沼津市","40","low","多量のごみを出す事業者の方へ","https://www.city.numazu.shizuoka.jp/business/oyakudachi/gomi/haikibutu/taryo.htm",""
"21521","御嵩町","20","low","https://www.town.mitake.lg.jp/","https://www.town.mitake.lg.jp/",""
"21521","御嵩町","20","low","くらし・町政TOP | 御嵩町","https://www.town.mitake.lg.jp/living/",""
"21521","御嵩町","20","low","くらし・手続き","https://www.town.mitake.lg.jp/portal/life-process/",""
"21521","御嵩町","20","low","届出・証明","https://www.town.mitake.lg.jp/portal/life-process/report/",""
"21521","御嵩町","20","low","税金・保険・年金","https://www.town.mitake.lg.jp/portal/life-process/tax-insurance-pension/",""
"21521","御嵩町","20","low","相談窓口","https://www.town.mitake.lg.jp/portal/life-process/consultation-desk/",""
"21521","御嵩町","20","low","住まい・上下水道","https://www.town.mitake.lg.jp/portal/life-process/residence-water/",""
"21521","御嵩町","20","low","ごみ・環境・衛生","https://www.town.mitake.lg.jp/portal/life-process/trash-environment-hygiene/",""
"21521","御嵩町","20","low","男女共同参画","https://www.town.mitake.lg.jp/portal/life-process/gender-equality/",""
"21521","御嵩町","20","low","自治会","https://www.town.mitake.lg.jp/portal/life-process/residents-association/",""
"21521","御嵩町","20","low","防災","https://www.town.mitake.lg.jp/portal/life-process/disaster-prevention/",""
"21521","御嵩町","20","low","土地・公園・道路・交通","https://www.town.mitake.lg.jp/portal/life-process/land-park-road-traffic/",""
"21521","御嵩町","20","low","地域振興・まちづくり","https://www.town.mitake.lg.jp/portal/life-process/town-planning/",""
"21521","御嵩町","20","low","みたけカレンダー","https://www.town.mitake.lg.jp/portal/life-process/mitake-calendar/",""
"21521","御嵩町","20","low","健康・福祉","https://www.town.mitake.lg.jp/portal/health-welfare/",""
"21521","御嵩町","20","low","健康・医療","https://www.town.mitake.lg.jp/portal/health-welfare/health-medical/",""
"21521","御嵩町","20","low","高齢福祉","https://www.town.mitake.lg.jp/portal/health-welfare/elderly-welfare/",""
"21521","御嵩町","20","low","地域福祉","https://www.town.mitake.lg.jp/portal/health-welfare/community-welfare/",""
"21521","御嵩町","20","low","福祉保健施設","https://www.town.mitake.lg.jp/portal/health-welfare/health-welfare-facilities/",""
"21521","御嵩町","20","low","子育て・教育","https://www.town.mitake.lg.jp/portal/child-education/",""
"21521","御嵩町","20","low","B&amp;G海洋センター","https://www.town.mitake.lg.jp/portal/child-education/bandg_center/",""
"21521","御嵩町","20","low","子育て","https://www.town.mitake.lg.jp/portal/child-education/parenting/",""
"21521","御嵩町","20","low","妊娠・出産","https://www.town.mitake.lg.jp/portal/child-education/pregnancy-birth/",""
"21521","御嵩町","20","low","子どもの健康","https://www.town.mitake.lg.jp/portal/child-education/child-health/",""
"21521","御嵩町","20","low","相談・助成","https://www.town.mitake.lg.jp/portal/child-education/consultation-subsidy/",""
"21521","御嵩町","20","low","教育委員会","https://www.town.mitake.lg.jp/portal/child-education/educational-committee/",""
"21521","御嵩町","20","low","学校・教育","https://www.town.mitake.lg.jp/portal/child-education/school-education/",""
"21521","御嵩町","20","low","公民館","https://www.town.mitake.lg.jp/portal/child-education/public-hall/",""
"21521","御嵩町","20","low","中山道みたけ館（図書館）","https://www.town.mitake.lg.jp/portal/child-education/mitakekan-library/",""
"21521","御嵩町","20","low","御嵩町教育センター","https://www.town.mitake.lg.jp/portal/child-education/educational-center/",""
"21521","御嵩町","20","low","みたけ町子どもセンター","https://www.town.mitake.lg.jp/portal/child-education/child-center/",""
"21521","御嵩町","20","low","オアシス教室","https://www.town.mitake.lg.jp/portal/child-education/oasis-classroom/",""
"21521","御嵩町","20","low","町政情報","https://www.town.mitake.lg.jp/portal/town/",""
"21521","御嵩町","20","low","町長の部屋","https://www.town.mitake.lg.jp/portal/town/mayor-room/",""
"21521","御嵩町","20","low","議会","https://www.town.mitake.lg.jp/portal/town/parliament/",""
"21521","御嵩町","20","low","行政","https://www.town.mitake.lg.jp/portal/town/administration/",""
"21521","御嵩町","20","low","財政","https://www.town.mitake.lg.jp/portal/town/finance/",""
