accepted	score	organization	title	url	evidence
adopt	30	座間味村	令和７年度座間味村大型２種免許取得助成事業について	https://www.vill.zamami.okinawa.jp/kurashi/life/1771923529/	令和７年度座間味村大型２種免許取得助成事業について | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力
hold	28	座間味村	クリーンセンターについて	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/clean_center/	クリーンセンターについて | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力 観光 移住・定住 行事・イ
hold	28	座間味村	ごみの正しい出し方・分け方	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/bunbetsu/	ごみの正しい出し方・分け方／分別早見表 | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力 観光 移住・
hold	28	座間味村	リチウム蓄電池等の正しい分別にご協力ください	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/1771917060/	リチウム蓄電池等の正しい分別にご協力ください | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力 観光
hold	28	座間味村	家電リサイクルの集荷	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/recycling/	家電リサイクルの集荷 | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力 観光 移住・定住 行事・イベン
hold	28	座間味村	座間味村役場公式ホームページ	https://www.vill.zamami.okinawa.jp/topics/rss/	座間味村役場公式ホームページ https://www.vill.zamami.okinawa.jp/ お知らせ ja Fri, 17 Jul 2026 16:00:00 +0900 沖縄県ひとり親暮らし応援事業 https://www.vill.zamami.okinawa.jp/article/1784273461/ 沖縄県では、物価高騰により経済的に困難な状況にあるひとり親家庭等の皆様へ、生活関連物資と引き換え可能な電子クーポンや日用品セットを交付しています。 令和8年4月21日（火）より、クーポンの申請受付が開始されています。対象となるご家庭は、内容をご確認のうえ期限内にお手続きください。 対象者 下記のすべてに該当するもの 申請時点において沖縄県内に居住しているもの 沖縄県または県内各市において、令和８
hold	28	座間味村	事業ごみ、そ大ごみ、適正処理困難物	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/sodaigomi/	事業ごみ、そ大ごみ、適正処理困難物 | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力 観光 移住・定住
hold	28	座間味村	自動車リサイクル	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/jidousha/	自動車リサイクル | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間味村の魅力 観光 移住・定住 行事・イベント
hold	26	座間味村	【7月2日に延期】令和8年6月25日(木) 運転免許講習について	https://www.vill.zamami.okinawa.jp/kurashi/life/1771899640/	【7月2日に延期】令和8年6月25日(木) 運転免許講習について | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座
hold	26	座間味村	10	https://www.vill.zamami.okinawa.jp/kurashi/life/1771921733/	10/2(木)、10/3(金) 自動車整備及び車両検査について | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間
