id	rescored	originalScore	organization	title	url	evidence
112	51	30	高原町	母子・父子家庭医療費助成制度について	https://www.town.takaharu.lg.jp/soshiki/202304004/1109.html	母子・父子家庭医療費助成制度について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 健康課 > 母子・父子家庭医療費助成制度について 本文 母子・父子家庭医療費助成制度について
113	51	30	高原町	高原町在宅介護手当支給事業について	https://www.town.takaharu.lg.jp/soshiki/20230403/146086.html	高原町在宅介護手当支給事業について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 福祉課 > 高原町在宅介護手当支給事業について 本文 高原町在宅介護手当支給事業について 印刷ペ
115	51	30	高原町	幼児教育・保育の無償化について	https://www.town.takaharu.lg.jp/soshiki/202304004/5451.html	幼児教育・保育の無償化について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 健康課 > 幼児教育・保育の無償化について 本文 幼児教育・保育の無償化について 印刷ページ表示 大
116	51	30	高原町	児童扶養手当制度について	https://www.town.takaharu.lg.jp/soshiki/202304004/1111.html	児童扶養手当制度について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 健康課 > 児童扶養手当制度について 本文 児童扶養手当制度について 印刷ページ表示 大きな文字で印刷ペー
117	51	30	高原町	◆（ＪＲ吉都線）貸切列車助成事業	https://www.town.takaharu.lg.jp/soshiki/31/5844.html	◆（ＪＲ吉都線）貸切列車助成事業 - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 企画政策課 > ◆（ＪＲ吉都線）貸切列車助成事業 本文 ◆（ＪＲ吉都線）貸切列車助成事業 印刷ペー
123	51	30	高原町	高原町生ごみ処理機等購入費補助金について	https://www.town.takaharu.lg.jp/soshiki/20230402/305064.html	高原町生ごみ処理機等購入費補助金について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 町民課 > 高原町生ごみ処理機等購入費補助金について 本文 高原町生ごみ処理機等購入費補助
124	51	30	高原町	高原町飼い主のいない猫等の不妊手術助成補助金について	https://www.town.takaharu.lg.jp/soshiki/20230402/305061.html	高原町飼い主のいない猫等の不妊手術助成補助金について - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 町民課 > 高原町飼い主のいない猫等の不妊手術助成補助金について 本文 高原町
125	51	30	高原町	高原町浄化槽設置事業補助金	https://www.town.takaharu.lg.jp/soshiki/20230402/16569.html	高原町浄化槽設置事業補助金 - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 町民課 > 高原町浄化槽設置事業補助金 本文 高原町浄化槽設置事業補助金 印刷ページ表示 大きな文字で印
129	51	30	高原町	軽度者に対する福祉用具貸与例外給付	https://www.town.takaharu.lg.jp/soshiki/20230403/296469.html	軽度者に対する福祉用具貸与例外給付 - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 福祉課 > 軽度者に対する福祉用具貸与例外給付 本文 軽度者に対する福祉用具貸与例外給付 印刷ペ
131	51	30	高原町	身体障がい者自動車運転免許証取得助成事業	https://www.town.takaharu.lg.jp/soshiki/20230403/238565.html	身体障がい者自動車運転免許証取得助成事業 - 高原町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー Close pop up Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ くらしの情報 しごとの情報 観光情報 町政情報 組織でさがす 地図でさがす カレンダーでさがす 防災・災害情報 日曜・休日当番 トップページへ 本文へ ご利用ガイド サイトマップ Foreign language 文字拡大・背景色変更 文字サイズ 標準 拡大 色合い変更 白 青 黒 閉じる サイト内検索 Googleカスタム検索 検索対象 すべて PDFを除く PDFのみ トップページ > 組織でさがす > 福祉課 > 身体障がい者自動車運転免許証取得助成事業 本文 身体障がい者自動車運転免許証取
