id	rescore	score	organization	title	url	snippet
22	61	32	えびの市	手当・年金	https://www.city.ebino.lg.jp/kenko_fukushi/shogaishafukushi/shien/4053.html	手当・年金／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマートフォン版を表
23	60	37	えびの市	えびの市中学校部活動等大会参加費補助金について	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/josei_shien_shorei/7450.html	えびの市中学校部活動等大会参加費補助金について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language
24	59	30	えびの市	移住者住宅取得支援金について	https://www.city.ebino.lg.jp/kanko/iju_teiju/josei_shien/3145.html	移住者住宅取得支援金について／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 助成・支援 移住者住宅取得支援金について 移住者住宅取得支援金について Tweet 更新日：2022年02月28日 市では、本市への移住促進を図るため、移住者が自己の居住を目的として市内に住
25	58	21	えびの市	障害者手帳を持つことで受けられる各種控除や減免など	https://www.city.ebino.lg.jp/kenko_fukushi/shogaishafukushi/shien/4051.html	障害者手帳を持つことで受けられる各種控除や減免など／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Langua
28	57	30	えびの市	浄化槽設置整備事業補助金について	https://www.city.ebino.lg.jp/benri_service/downlord/kurashi_tetsuduki/2915.html	浄化槽設置整備事業補助金について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
29	57	30	えびの市	子ども医療費助成が変わりました	https://www.city.ebino.lg.jp/kosodate_kyoiku/kosodate/kosodate/shien_support/2265.html	子ども医療費助成が変わりました／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
30	57	30	えびの市	令和6年度えびの市移動スーパー事業促進支援補助金について	https://www.city.ebino.lg.jp/kurashi_tetsuduki/chiikikokyokotsu/3840.html	令和6年度えびの市移動スーパー事業促進支援補助金について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Lan
36	53	30	えびの市	地域づくり活動支援「ぷらいど21市民団体活動助成金	https://www.city.ebino.lg.jp/kurashi_tetsuduki/kyodo_machidukuri/kyodo_shiminkatsudo/3584.html	地域づくり活動支援「ぷらいど21市民団体活動助成金」／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Langu
37	53	26	えびの市	えびの市奨学金貸与制度	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/josei_shien_shorei/2460.html	えびの市奨学金貸与制度／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマート
39	52	25	えびの市	介護保険(居宅介護支援事業所に係る特定事業所集中減算について)	https://www.city.ebino.lg.jp/benri_service/downlord/kenko_fukushi/2513.html	介護保険(居宅介護支援事業所に係る特定事業所集中減算について)／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign
