org	title	url	originalScore	rescore	snippet
さつま町	産婦健康診査の助成について	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/8045.html	42	67	産婦健康診査の助成について／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 医療費助成 産婦健康診査の助成について 産婦健康診査の助成について Tweet 更新日：2025年12月09日 制度の目的 産
さつま町	先進医療不妊治療費助成事業	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/8006.html	42	67	先進医療不妊治療費助成事業／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 医療費助成 先進医療不妊治療費助成事業 先進医療不妊治療費助成事業 Tweet 更新日：2024年03月01日 さつま町先進医
三島村	補助金・事業	https://mishimamura.com/toumin/hojokin/	28	67	補助金・事業 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government of Mish
三島村	三島村自動車航送運賃助成事業	https://mishimamura.com/toumin/%e4%b8%89%e5%b3%b6%e6%9d%91%e8%87%aa%e5%8b%95%e8%bb%8a%e8%88%aa%e9%80%81%e9%81%8b%e8%b3%83%e5%8a%a9%e6%88%90%e4%ba%8b%e6%a5%ad/	28	67	三島村自動車航送運賃助成事業 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government
三島村	ひとり親家庭等医療費助成制度	https://mishimamura.com/toumin/%e5%ad%90%e8%82%b2%e3%81%a6%e6%94%af%e6%8f%b4/%e3%81%b2%e3%81%a8%e3%82%8a%e8%a6%aa%e5%ae%b6%e5%ba%ad%e7%ad%89%e5%8c%bb%e7%99%82%e8%b2%bb%e5%8a%a9%e6%88%90%e5%88%b6%e5%ba%a6/	28	67	ひとり親家庭等医療費助成制度 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government
三島村	児童手当	https://mishimamura.com/toumin/%e5%ad%90%e8%82%b2%e3%81%a6%e6%94%af%e6%8f%b4/%e5%85%90%e7%ab%a5%e6%89%8b%e5%bd%93/	28	67	児童手当 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government of Mishim
三島村	特別児童扶養手当	https://mishimamura.com/toumin/%e5%ad%90%e8%82%b2%e3%81%a6%e6%94%af%e6%8f%b4/%e7%89%b9%e5%88%a5%e5%85%90%e7%ab%a5%e6%89%b6%e9%a4%8a%e6%89%8b%e5%bd%93/	28	67	特別児童扶養手当 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government of Mi
三島村	子ども医療費助成制度	https://mishimamura.com/toumin/%e5%ad%90%e8%82%b2%e3%81%a6%e6%94%af%e6%8f%b4/%e5%ad%90%e3%81%a9%e3%82%82%e5%8c%bb%e7%99%82%e8%b2%bb%e5%8a%a9%e6%88%90%e5%88%b6%e5%ba%a6/	26	65	子ども医療費助成制度 | 鹿児島県三島村 コロナウィルス感染拡大防止の 徹底について --> 島民の皆さん For islanders 子育て支援 「冒険ランドいおうじま」の今後の活用等について 三島村さくらねこ無料不妊手術事業（行政枠）について 農業委員会から 後期高齢者医療制度 国民健康保険制度 介護保険について 申請書いろいろ 社会保障･税番号(マイナンバー)制度 戸籍･住民の手続き【戸籍届出・住民票・証明書】 税金 公共施設 ゴミ･家電処分について 防災 年金について 議会だより 福祉 広報みしま 補助金・事業 検診 準住民割引カード･準住民割引許可書 三島村自動車航送運賃助成事業 教育・文化・歴史 Education, Culture and History 三島村の行政 Government of
さつま町	一部負担金の減免制度（後期高齢者医療制度）	https://www.satsuma-net.jp/kenko_fukushi/kokikoreishairyo/2/3663.html	30	64	一部負担金の減免制度（後期高齢者医療制度）／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language English 中文（簡体） 中文（繁体） ベトナム語 日本語 翻訳 くらし・手続き 健康・福祉 子育て・学び しごと・産業 防災・安全 町のすがた メニュー 災害の備え 休日当番医 イベント 閉じる くらし・手続き 健康・福祉 子育て・学び しごと・産業 防災・安全 町のすがた ごみ出し検索 よくある質問 文字サイズ 背景色変更 Foreign Language English 中文（簡体） 中文（繁体） ベトナム語 日本語 翻訳 キーワードで探す PC版で見る 現在の位置 ホーム 健康・福祉 後期高齢者医療 給付・サービス 一部負担金の減免制度（後期
湧水町	自動車税(種別割・環境性能割) ・軽自動車税の減免	https://www.town.yusui.kagoshima.jp/site/yusuilife/927.html	30	64	自動車税(種別割・環境性能割) ・軽自動車税の減免 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー ゆうすいで暮らす 定住促進住宅・中間管理住宅 移住体験（お試し住宅） 宅地分譲地 空家バンク 空地バンク ゆうすいで暮らすの一覧を見る ゆうすいで子育て 取組み・計画 子育て支援 健診・予防接種 放課後児童クラブ 母子保健 ゆうすいで働く 企業情報 就職・求人制度について Googleカスタム検索 検索対象 すべて ページ PDF Foreign Language 文字サイズ・色合い変更 背景色 白 黒 青 文字サイズ 標準 拡大 閉じる ＜外部リンク＞ ＜外部リンク＞ フロントページ > ゆうすいらいふ > 自動車税(種別割・環境性能割) ・軽自動車税の減免 本文 自動車税(種別
さつま町	児童手当現況届の廃止と保育園等の現況届確認期間の変更について	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/teate/7892.html	37	63	児童手当現況届の廃止と保育園等の現況届確認期間の変更について／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 手当 児童手当現況届の廃止と保育園等の現況届確認期間の変更について 児童手当現況届の廃止と保
さつま町	造血細胞移植後ワクチン再接種費用助成事業	https://www.satsuma-net.jp/kosodate/mokuteki/kensinyobousessyu/yobousessyu/8199.html	42	62	造血細胞移植後ワクチン再接種費用助成事業／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 健診・予防接種 予防接種 造血細胞移植後ワクチン再接種費用助成事業 造血細胞移植後ワクチン再接種費用助成事業 Tweet 更
さつま町	子どもと妊産婦のインフルエンザ予防接種費用を助成します	https://www.satsuma-net.jp/kosodate/mokuteki/kensinyobousessyu/yobousessyu/8018.html	42	62	子どもと妊産婦のインフルエンザ予防接種費用を助成します／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 健診・予防接種 予防接種 子どもと妊産婦のインフルエンザ予防接種費用を助成します 子どもと妊産婦のインフルエン
さつま町	造血細胞移植後ワクチン再接種費用助成事業	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/8079.html	42	62	造血細胞移植後ワクチン再接種費用助成事業／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 医療費助成 造血細胞移植後ワクチン再接種費用助成事業 造血細胞移植後ワクチン再接種費用助成事業 Tweet 更新
さつま町	子どもと妊産婦のインフルエンザ予防接種費用を助成します	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/8016.html	42	62	子どもと妊産婦のインフルエンザ予防接種費用を助成します／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 医療費助成 子どもと妊産婦のインフルエンザ予防接種費用を助成します 子どもと妊産婦のインフルエンザ
さつま町	妊婦のための支援給付事業	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/kyufukin/8047.html	30	61	妊婦のための支援給付事業／さつま町公式ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 緊急時 支援・取り組み インタビュー 目的別で探す 年齢別で探す 困ったときは 文字サイズ 背景色変更 Foreign Languages English 中文（簡体） 中文（繁体） ベトナム語 日本語 GO PC版で見る 閉じる 現在のページ ホーム 子育て応援サイト 目的別で探す 手当・助成 給付金・支援金など 妊婦のための支援給付事業 妊婦のための支援給付事業 Tweet 更新日：2026年02月20日 妊婦のための
湧水町	妊婦のための支援給付（国の妊婦支援給付金）	https://www.town.yusui.kagoshima.jp/soshiki/30/9059.html	30	61	妊婦のための支援給付（国の妊婦支援給付金） - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー 検索 本文へ ご利用ガイド サイトマップ Foreign Language 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる くらしの情報 しごとの情報 観光情報 町政情報 キーワード検索 Googleカスタム検索 ページID検索 ページID検索とは カテゴリからさがす 組織でさがす 地図でさがす カレンダーでさがす フロントページ > 組織で探す > 健康増進課 > 妊婦のための支援給付（国の妊婦支援給付金） 本文 妊婦のための支援給付（国の妊婦支援給付金） 印刷用ページを表示する 掲載日：2026年4月1日更新 ページID：000905
湧水町	新生児子育て応援給付金	https://www.town.yusui.kagoshima.jp/soshiki/30/9115.html	30	61	新生児子育て応援給付金 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー 検索 本文へ ご利用ガイド サイトマップ Foreign Language 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる くらしの情報 しごとの情報 観光情報 町政情報 キーワード検索 Googleカスタム検索 ページID検索 ページID検索とは カテゴリからさがす 組織でさがす 地図でさがす カレンダーでさがす フロントページ > 組織で探す > 健康増進課 > 新生児子育て応援給付金 本文 新生児子育て応援給付金 印刷用ページを表示する 掲載日：2026年4月1日更新 ページID：0009115 対象者 次のすべての要件を満たす世帯 ・母親が新生児出産
湧水町	児童扶養手当	https://www.town.yusui.kagoshima.jp/soshiki/30/9104.html	30	61	児童扶養手当 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー 検索 本文へ ご利用ガイド サイトマップ Foreign Language 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる くらしの情報 しごとの情報 観光情報 町政情報 キーワード検索 Googleカスタム検索 ページID検索 ページID検索とは カテゴリからさがす 組織でさがす 地図でさがす カレンダーでさがす フロントページ > 組織で探す > 健康増進課 > 児童扶養手当 本文 児童扶養手当 印刷用ページを表示する 掲載日：2026年4月1日更新 ページID：0009104 父母のいない家庭や、父母が一定の障害の状態にある家庭の児童が養育されている世帯に、児童
湧水町	児童手当	https://www.town.yusui.kagoshima.jp/soshiki/30/9084.html	30	61	児童手当 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー 検索 本文へ ご利用ガイド サイトマップ Foreign Language 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる くらしの情報 しごとの情報 観光情報 町政情報 キーワード検索 Googleカスタム検索 ページID検索 ページID検索とは カテゴリからさがす 組織でさがす 地図でさがす カレンダーでさがす フロントページ > 組織で探す > 健康増進課 > 児童手当 本文 児童手当 印刷用ページを表示する 掲載日：2026年4月1日更新 ページID：0009084 家庭等における生活の安定・次代の社会を担う児童の健やかな成長を支援するために、支給される手当です。
湧水町	医療費助成制度	https://www.town.yusui.kagoshima.jp/site/yusuilife/168.html	30	61	医療費助成制度 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー ゆうすいで暮らす 定住促進住宅・中間管理住宅 移住体験（お試し住宅） 宅地分譲地 空家バンク 空地バンク ゆうすいで暮らすの一覧を見る ゆうすいで子育て 取組み・計画 子育て支援 健診・予防接種 放課後児童クラブ 母子保健 ゆうすいで働く 企業情報 就職・求人制度について Googleカスタム検索 検索対象 すべて ページ PDF Foreign Language 文字サイズ・色合い変更 背景色 白 黒 青 文字サイズ 標準 拡大 閉じる ＜外部リンク＞ ＜外部リンク＞ フロントページ > ゆうすいらいふ > 医療費助成制度 本文 医療費助成制度 印刷用ページを表示する 掲載日：2023年3月22日更新 医療費助成制
湧水町	タクシー利用券による助成制度	https://www.town.yusui.kagoshima.jp/site/kanko/5944.html	30	61	タクシー利用券による助成制度 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー パソコン表示 Foreign Language 文字サイズ・色合い変更 背景色 白 黒 青 文字サイズ 標準 拡大 閉じる Googleカスタム検索 検索対象 すべて ページ PDF ホーム 湧水町の紹介 季節でさがす 目的でさがす 観光スポット フロントページ > 観光情報 > タクシー利用券による助成制度 本文 タクシー利用券による助成制度 印刷用ページを表示する 掲載日：2023年1月30日更新 タクシー利用券による助成制度がスタートします 令和5年4月から，タクシー利用料金の一部を助成する制度を実施します。 高齢者等の交通手段に不便を感じている方の移動支援として行うものです。
湧水町	令和8年度「国民健康保険税・子ども・子育て支援金制度」	https://www.town.yusui.kagoshima.jp/soshiki/29/10992.html	30	61	令和8年度「国民健康保険税・子ども・子育て支援金制度」 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー 検索 本文へ ご利用ガイド サイトマップ Foreign Language 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる くらしの情報 しごとの情報 観光情報 町政情報 キーワード検索 Googleカスタム検索 ページID検索 ページID検索とは カテゴリからさがす 組織でさがす 地図でさがす カレンダーでさがす フロントページ > 組織で探す > 住民税務課 > 令和8年度「国民健康保険税・子ども・子育て支援金制度」 本文 令和8年度「国民健康保険税・子ども・子育て支援金制度」 印刷用ページを表示する 掲載日：2026年4
湧水町	浄化槽設置整備事業補助金	https://www.town.yusui.kagoshima.jp/soshiki/29/10460.html	30	61	浄化槽設置整備事業補助金 - 湧水町ホームページ ページの先頭です。 メニューを飛ばして本文へ スマートフォン表示 メニュー 検索 本文へ ご利用ガイド サイトマップ Foreign Language 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる くらしの情報 しごとの情報 観光情報 町政情報 キーワード検索 Googleカスタム検索 ページID検索 ページID検索とは カテゴリからさがす 組織でさがす 地図でさがす カレンダーでさがす フロントページ > 組織で探す > 住民税務課 > 浄化槽設置整備事業補助金 本文 浄化槽設置整備事業補助金 印刷用ページを表示する 掲載日：2026年1月14日更新 ページID：0010460 補助金の名称 浄化槽設置整備事業補助金 補助対象
